series,n_qubits,terms,setup_s,total_s,per_term_s,word_ops_bound
n_sweep,64,20000,1.8259044736623764e-05,0.00798288092482835,3.9823109400458635e-07,64.0
n_sweep,128,20000,6.243807729333639e-05,0.018556689959950745,9.247125941328704e-07,256.0
n_sweep,256,20000,0.0006221890216693282,0.05295254604425281,2.616517851129174e-06,1024.0
n_sweep,512,20000,0.0028720760019496083,0.19038881605956703,9.375837002880871e-06,4096.0
n_sweep,1024,20000,0.014426619047299027,0.6913253719685599,3.3844937646063044e-05,16384.0
m_sweep,256,1000,,0.0028017230797559023,2.801723079755902e-06,1024.0
m_sweep,256,5000,,0.01398255000822246,2.796510001644492e-06,1024.0
m_sweep,256,20000,,0.052775635034777224,2.6387817517388614e-06,1024.0
m_sweep,256,100000,,0.260782411089167,2.60782411089167e-06,1024.0
