kind,padding_rounds,gates,instructions,readout_s,contraction_s,generators_identical,estimate,estimate_drift,mean_generator_weight
cluster_2d+padding,0,96,10,0.000488772988319397,8.574919775128365e-06,True,0.4640046627956811,0.0,4.333333333333333
cluster_2d+padding,200,592,162,0.0005082179559394717,8.446048013865948e-06,True,0.4640046627956811,0.0,4.333333333333333
cluster_2d+padding,2000,5110,1505,0.000648446031846106,8.556991815567017e-06,True,0.4640046627956811,0.0,4.333333333333333
cluster_2d+padding,20000,50236,15088,0.0020770119735971093,8.580973371863365e-06,True,0.4640046627956811,0.0,4.333333333333333
random_clifford,,94,55,0.0004855060251429677,9.202980436384678e-06,False,0.0,,1.6944444444444444
random_clifford,,470,260,0.0005052679916843772,9.560026228427887e-06,False,0.0,,3.0833333333333335
random_clifford,,2336,1236,0.0005823289975523949,1.2358068488538265e-05,False,0.0,,10.333333333333334
random_clifford,,9316,5075,0.0008175410330295563,1.7351005226373672e-05,False,0.0,,24.11111111111111
random_clifford_own_generator,,2321,1257,0.0005696211010217667,,False,-0.21530032709613375,,9.722222222222221
