theta_h,terms_kept,terms_untruncated,centre_expectation,corner_expectation,centre_closed_form,corner_closed_form,closed_form_gap,dust_gap,clifford_point,stim_exact
0.0,1,16,1.0,1.0,1.0,1.0,0.0,0.0,True,1.0
0.09817477042468103,16,622647,0.9808775817655262,0.9903926402016153,0.9808775817655262,0.9903926402016153,0.0,0.0,False,
0.19634954084936207,16,626261,0.9253281139039619,0.9619397662556434,0.9253281139039617,0.9619397662556434,1.1102230246251565e-16,0.0,False,
0.2945243112740431,16,622954,0.8385702351969087,0.9157348061512726,0.8385702351969087,0.9157348061512726,0.0,0.0,False,
0.39269908169872414,16,625720,0.7285533905932737,0.8535533905932737,0.7285533905932737,0.8535533905932737,0.0,0.0,False,
0.4908738521234052,16,624912,0.604949687464165,0.7777851165098012,0.604949687464165,0.7777851165098012,0.0,0.0,False,
0.5890486225480862,16,626745,0.4779533685342265,0.6913417161825449,0.47795336853422643,0.6913417161825449,5.551115123125783e-17,0.0,False,
0.6872233929727672,16,624202,0.3570602194441534,0.5975451610080642,0.35706021944415334,0.5975451610080642,5.551115123125783e-17,0.0,False,
0.7853981633974483,16,627990,0.25000000000000006,0.5000000000000001,0.25000000000000006,0.5000000000000001,0.0,0.0,False,
0.8835729338221293,16,621062,0.161969897428025,0.40245483899193585,0.161969897428025,0.40245483899193585,0.0,0.0,False,
0.9817477042468103,16,627892,0.09526993616913672,0.3086582838174552,0.09526993616913672,0.3086582838174552,0.0,0.0,False,
1.0799224746714913,16,624283,0.04937945444456274,0.22221488349019905,0.04937945444456273,0.22221488349019905,6.938893903907228e-18,0.0,False,
1.1780972450961724,16,623236,0.021446609406726255,0.1464466094067263,0.021446609406726252,0.1464466094067263,3.469446951953614e-18,0.0,False,
1.2762720155208536,16,625493,0.007100622894363599,0.08426519384872735,0.0071006228943636,0.08426519384872735,8.673617379884035e-19,0.0,False,
1.3744467859455345,16,625117,0.0014485813926750641,0.038060233744356645,0.0014485813926750643,0.038060233744356645,2.168404344971009e-19,0.0,False,
1.4726215563702154,16,626972,9.23013622956206e-05,0.009607359798384809,9.230136229562058e-05,0.009607359798384809,1.3552527156068805e-20,0.0,False,
1.5707963267948966,1,583529,0.0,0.0,1.4057996285562142e-65,3.749399456654644e-33,3.749399456654644e-33,3.749399456654644e-33,True,0.0
