theta_h,terms,hs_weight,pauli_renyi2,pauli_linear,pauli_shannon,op_entanglement,op_entanglement_renyi2,schmidt_rows,schmidt_cols
0,1,1,-0,0,-0,-0,-0,1,1
0.0981747704247,16796,1,0.241684257822,0.214695907965,0.464908506566,0.167770022146,0.0773148490377,126,461
0.196349540849,16796,1,0.850174175813,0.572659506912,1.20952466694,0.477670567099,0.306975776717,126,461
0.294524311274,16796,1,1.51184911246,0.779498131997,1.99111219029,0.822109537953,0.649795028311,126,461
0.392699081699,16796,1,2.12421906158,0.880473725511,2.79208238204,1.11686341737,0.979752882978,126,461
0.490873852123,16796,1,2.85736267204,0.94258000389,3.5827757035,1.28895330234,1.16492772062,126,461
0.589048622548,16796,1,3.58089666701,0.972149285761,4.25272712734,1.30926886173,1.15527085973,126,461
0.687223392973,16796,1,3.93574809045,0.980468917156,4.68827498231,1.21522349897,0.945973383147,126,461
0.785398163397,16793,1,3.65177255047,0.974054901002,4.90481863697,1.09868960627,0.704780750997,126,461
0.883572933822,16796,1,3.2517510697,0.961293629098,5.07797996883,1.05826919555,0.626385063497,126,461
0.981747704247,16796,1,3.35619854765,0.965132445325,5.38966501424,1.13876288081,0.775601248608,126,461
1.07992247467,16796,1,4.021080103,0.982066415643,5.78592836911,1.29282037316,1.09092277554,126,461
1.1780972451,16796,1,4.67953906477,0.990716708103,5.88026027879,1.39224277407,1.34329709458,126,461
1.27627201552,16796,1,3.83777151836,0.978458447149,5.16903006415,1.29211412193,1.20301816158,126,461
1.37444678595,16796,1,1.88320533729,0.847898213967,3.47251791973,0.923363956587,0.681841063743,126,461
1.47262155637,16796,1,0.480139043392,0.381302639955,1.30365942334,0.377757362536,0.187977645107,126,461
1.57079632679,4181,1,-0,0,1.25974837194e-29,5.3742377139e-30,-0,55,144
