t,m_x
0.000000,1.0000000000
0.050000,0.9801659132
0.100000,0.9233786545
0.150000,0.8371768642
0.200000,0.7323182320
0.250000,0.6207103834
0.300000,0.5134706001
0.350000,0.4195180855
0.400000,0.3448137927
0.450000,0.2921466190
0.500000,0.2613006723
0.550000,0.2495048476
0.600000,0.2521558965
0.650000,0.2633873620
0.700000,0.2769984785
0.750000,0.2906815101
0.800000,0.3034555682
0.850000,0.3110995588
0.900000,0.3157902819
0.950000,0.3184038971
1.000000,0.3194050459
1.050000,0.3189234398
1.100000,0.3175935974
1.150000,0.3156038259
1.200000,0.3116819446
1.250000,0.3082249039
1.300000,0.3036832606
1.350000,0.2974217254
1.400000,0.2893910106
1.450000,0.2823122968
1.500000,0.2787303387
1.550000,0.2790834936
1.600000,0.2829703853
1.650000,0.2876410173
1.700000,0.2903698445
1.750000,0.2899140555
1.800000,0.2872286665
1.850000,0.2850897765
1.900000,0.2871933242
1.950000,0.2956726318
2.000000,0.3086200346
